,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
1698,1e-08,eigen_value,1550834282.0,16592.0,1.2927955594932427e-10
1699,1e-09,eigen_value,1820941350.0,17950.0,1.255457959814521e-10
1700,1.0,vector_delta,307525759.0,4576.0,18673.933705186002
1701,0.1,vector_delta,389498787.0,5383.0,3073.863069729688
1702,0.01,vector_delta,165183783.0,2245.0,128.37411767303564
1703,0.001,vector_delta,213003433.0,3134.0,0.8758007620223967
1704,0.0001,vector_delta,345408249.0,5103.0,0.008440244969306336
1705,1e-05,vector_delta,445688960.0,6828.0,0.00026475278303415004
1706,1e-06,vector_delta,545013618.0,8244.0,0.0010260411437298367
1707,1e-07,vector_delta,645992606.0,9841.0,3.844062750815169e-06
1708,1e-08,vector_delta,747601007.0,11537.0,3.838043537873759e-06
1709,1e-09,vector_delta,829811476.0,13068.0,0.0007533107098376757
1710,1.0,eigen_value,558954467.0,5908.0,0.001072446084897527
1711,0.1,eigen_value,721266247.0,7646.0,4.3595808328937834e-05
1712,0.01,eigen_value,860638023.0,9146.0,0.1421156548444601
1713,0.001,eigen_value,1013335841.0,10887.0,1.7091013396133283e-05
1714,0.0001,eigen_value,1166715182.0,12511.0,0.00011623446042761776
1715,1e-05,eigen_value,1277853417.0,13514.0,0.0002413050650227966
1716,1e-06,eigen_value,1462326042.0,15017.0,4.666740116787693e-07
1717,1e-07,eigen_value,1568971672.0,15916.0,0.0005193462765071622
1718,1e-08,eigen_value,1600326001.0,16842.0,3.508304957118291e-06
1719,1e-09,eigen_value,1707150496.0,17949.0,1.0938195660714633e-05
1720,1.0,vector_delta,369930035.0,5232.0,17025.759419478614
1721,0.1,vector_delta,356140159.0,4445.0,3388.0191005424426
1722,0.01,vector_delta,152736676.0,2249.0,560.6010132688276
1723,0.001,vector_delta,198887456.0,2870.0,0.5421427698370834
1724,0.0001,vector_delta,302976225.0,4537.0,0.005806188749176524
1725,1e-05,vector_delta,405679590.0,6022.0,5.594408660222427e-05
1726,1e-06,vector_delta,494867679.0,7477.0,5.666838504048144e-07
1727,1e-07,vector_delta,580714800.0,8831.0,5.487021681460647e-09
1728,1e-08,vector_delta,689872958.0,10377.0,1.0491774560250633e-10
1729,1e-09,vector_delta,785714891.0,11967.0,1.721798881249015e-10
1730,1.0,eigen_value,469342126.0,4858.0,0.0014689560270128687
1731,0.1,eigen_value,633324294.0,6570.0,3.355817078750434e-05
1732,0.01,eigen_value,796100704.0,8407.0,1.0427710073201979e-07
1733,0.001,eigen_value,969433302.0,9651.0,2.6979878953170554e-09
1734,0.0001,eigen_value,1073745616.0,11355.0,9.815391166512199e-11
1735,1e-05,eigen_value,1216642349.0,12614.0,2.6753410153901313e-10
1736,1e-06,eigen_value,1344156868.0,14027.0,1.1288786794239059e-10
1737,1e-07,eigen_value,1397215700.0,14948.0,1.284048423144668e-10
1738,1e-08,eigen_value,1580079138.0,16285.0,8.463034717465235e-11
1739,1e-09,eigen_value,1731996845.0,17427.0,1.00092698573917e-10
1740,1.0,vector_delta,317788278.0,4804.0,22708.89410011497
1741,0.1,vector_delta,361784748.0,5451.0,2825.704339451762
1742,0.01,vector_delta,99118569.0,1399.0,61.68103208644242
1743,0.001,vector_delta,217175610.0,2818.0,0.534014237947037
1744,0.0001,vector_delta,311580652.0,4375.0,0.005060376264206923
1745,1e-05,vector_delta,386225254.0,5961.0,4.916930008690201e-05
1746,1e-06,vector_delta,525429926.0,7654.0,4.953135012897292e-07
1747,1e-07,vector_delta,584976031.0,9049.0,4.777183235660232e-09
1748,1e-08,vector_delta,673717853.0,10516.0,9.519787624867604e-11
1749,1e-09,vector_delta,785018303.0,12253.0,9.154952351764223e-11
1750,1.0,eigen_value,476111420.0,5022.0,0.0015160702250843628
1751,0.1,eigen_value,643816661.0,6711.0,1.549089518078972e-05
1752,0.01,eigen_value,787018132.0,8306.0,1.5699947539360437e-07
1753,0.001,eigen_value,952576746.0,9751.0,1.4986307661501996e-09
1754,0.0001,eigen_value,1190201638.0,11522.0,1.8286563374658726e-10
1755,1e-05,eigen_value,1263920852.0,12881.0,9.359425234833906e-11
1756,1e-06,eigen_value,1369939744.0,14265.0,7.297572324205248e-11
