,K,alpha,k,accuracy,precision,recall,n,norm
27,5.0,20.0,5.0,0.4,0.45,0.37666666666666665,200.0,6.0
28,5.0,20.0,5.0,0.425,0.3704761904761905,0.4066666666666666,200.0,6.0
29,5.0,20.0,5.0,0.425,0.39386363636363636,0.40499999999999997,200.0,6.0
30,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,7.0
31,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,7.0
32,5.0,20.0,5.0,0.45,0.4966666666666667,0.4216666666666667,200.0,7.0
33,5.0,20.0,5.0,0.4,0.3008333333333334,0.38166666666666665,200.0,7.0
34,5.0,20.0,5.0,0.375,0.39362637362637365,0.355,200.0,7.0
35,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,8.0
36,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,8.0
37,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,8.0
38,5.0,20.0,5.0,0.375,0.2786111111111111,0.35666666666666663,200.0,8.0
39,5.0,20.0,5.0,0.35,0.37916666666666665,0.335,200.0,8.0
40,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,9.0
41,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,9.0
42,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,200.0,9.0
43,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,9.0
44,5.0,20.0,5.0,0.325,0.275,0.31,200.0,9.0
45,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,200.0,10.0
46,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,10.0
47,5.0,20.0,5.0,0.45,0.4366666666666667,0.4133333333333334,200.0,10.0
48,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,200.0,10.0
49,5.0,20.0,5.0,0.325,0.275,0.31,200.0,10.0
50,5.0,20.0,5.0,0.425,0.37825396825396823,0.4033333333333333,200.0,1.0
51,5.0,20.0,5.0,0.5,0.42642857142857143,0.445,200.0,1.0
52,5.0,20.0,5.0,0.475,0.515,0.45999999999999996,200.0,1.0
53,5.0,20.0,5.0,0.35,0.31893939393939397,0.3416666666666667,200.0,1.0
54,5.0,20.0,5.0,0.375,0.3583333333333333,0.36,200.0,1.0
55,5.0,20.0,5.0,0.4,0.3584126984126984,0.3833333333333333,200.0,2.0
56,5.0,20.0,5.0,0.5,0.4447619047619048,0.4533333333333333,200.0,2.0
57,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,2.0
58,5.0,20.0,5.0,0.375,0.3175,0.36666666666666664,200.0,2.0
59,5.0,20.0,5.0,0.4,0.3761904761904762,0.38,200.0,2.0
60,5.0,20.0,5.0,0.3,0.3056349206349206,0.29333333333333333,200.0,3.0
61,5.0,20.0,5.0,0.475,0.4197619047619048,0.42000000000000004,200.0,3.0
62,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,3.0
63,5.0,20.0,5.0,0.35,0.31785714285714284,0.3416666666666667,200.0,3.0
64,5.0,20.0,5.0,0.425,0.3820779220779221,0.40499999999999997,200.0,3.0
65,5.0,20.0,5.0,0.275,0.2892063492063492,0.2633333333333333,200.0,4.0
66,5.0,20.0,5.0,0.5,0.43611111111111106,0.445,200.0,4.0
67,5.0,20.0,5.0,0.425,0.45619047619047626,0.41500000000000004,200.0,4.0
68,5.0,20.0,5.0,0.375,0.28833333333333333,0.36166666666666664,200.0,4.0
69,5.0,20.0,5.0,0.375,0.3502930402930403,0.355,200.0,4.0
70,5.0,20.0,5.0,0.275,0.2785714285714286,0.2633333333333333,200.0,5.0
71,5.0,20.0,5.0,0.525,0.4867063492063492,0.47000000000000003,200.0,5.0
72,5.0,20.0,5.0,0.45,0.4677777777777778,0.43500000000000005,200.0,5.0
73,5.0,20.0,5.0,0.375,0.2911111111111111,0.36166666666666664,200.0,5.0
74,5.0,20.0,5.0,0.425,0.40583333333333327,0.40499999999999997,200.0,5.0
75,5.0,20.0,5.0,0.3,0.2719047619047619,0.2966666666666667,200.0,6.0
