,K,alpha,k,accuracy,precision,recall
255,10.0,0.0,18.0,0.912,0.9204540935570777,0.911028919774086
256,10.0,0.0,19.0,0.905,0.9140724946018463,0.9040706459655707
257,10.0,0.0,20.0,0.908,0.9167978794291418,0.9072653164906808
258,10.0,0.0,21.0,0.907,0.9157669589711392,0.9061542053795696
259,10.0,0.0,22.0,0.907,0.9153935046483813,0.9060740221035101
260,10.0,0.0,23.0,0.907,0.9159643933473826,0.9059638039048463
261,10.0,0.0,24.0,0.909,0.9183821755434568,0.9080966187598534
262,10.0,0.0,25.0,0.907,0.9162355763888599,0.9059855076487423
263,10.0,0.0,30.0,0.908,0.9174823673378574,0.9069437859111442
264,10.0,0.0,35.0,0.906,0.915619383933643,0.9047869000255524
265,10.0,0.0,40.0,0.905,0.9151630573811154,0.903558713911311
266,10.0,0.0,45.0,0.904,0.9137206207750888,0.9026906518473726
267,10.0,0.0,50.0,0.905,0.9158854717568896,0.9037491313795364
268,10.0,0.0,60.0,0.897,0.9092392929757807,0.8954449286461449
269,10.0,0.0,70.0,0.89,0.9031093612540466,0.8884399780592626
270,10.0,0.0,80.0,0.884,0.90031529497873,0.8826353299372025
271,10.0,0.0,90.0,0.875,0.8932297176507745,0.8735659450175761
272,10.0,0.0,1.0,0.952,0.95271608647816,0.9510980396740323
273,10.0,0.0,2.0,0.939,0.9423625851761421,0.9370218644669441
274,10.0,0.0,3.0,0.958,0.959225541508587,0.9568321422099404
275,10.0,0.0,4.0,0.949,0.9500683236689087,0.9478927774691757
276,10.0,0.0,5.0,0.956,0.9570589519866395,0.9553160614979832
277,10.0,0.0,6.0,0.952,0.9530626506159428,0.9512533129154328
278,10.0,0.0,7.0,0.951,0.9531066038815961,0.950205170854263
279,10.0,0.0,8.0,0.949,0.9516401039767107,0.9478918555146318
280,10.0,0.0,9.0,0.948,0.9503762785193015,0.9469846503757366
281,10.0,0.0,10.0,0.944,0.9463068391742798,0.9429277497464025
282,10.0,0.0,11.0,0.945,0.947737973033696,0.9441462752885931
283,10.0,0.0,12.0,0.939,0.9422068601945048,0.9381304148603616
284,10.0,0.0,13.0,0.942,0.945353856823103,0.9412700865198353
285,10.0,0.0,14.0,0.94,0.9430563195337636,0.9391957511969921
286,10.0,0.0,15.0,0.939,0.9422108903086575,0.938203284900402
287,10.0,0.0,16.0,0.934,0.9375522468675184,0.9331463842710678
288,10.0,0.0,17.0,0.936,0.9393295188474473,0.9350711469443385
289,10.0,0.0,18.0,0.932,0.9363302049670572,0.9309658837864436
290,10.0,0.0,19.0,0.936,0.9396363501729995,0.9350017575708254
291,10.0,0.0,20.0,0.934,0.9381180735182753,0.93302841635549
292,10.0,0.0,21.0,0.936,0.9403290106145935,0.935070138093088
293,10.0,0.0,22.0,0.933,0.9381676663010886,0.9319132522074962
294,10.0,0.0,23.0,0.933,0.9377176005166534,0.9318846916591339
295,10.0,0.0,24.0,0.93,0.9353645266657352,0.9289715157261558
296,10.0,0.0,25.0,0.931,0.9361317737427743,0.9299139291064396
297,10.0,0.0,30.0,0.926,0.9325923677609376,0.9249490145069619
298,10.0,0.0,35.0,0.926,0.9334060766650575,0.9249372117531649
299,10.0,0.0,40.0,0.918,0.9272833683548335,0.9169158397779107
300,10.0,0.0,45.0,0.909,0.9193156920050068,0.9078261095498272
301,10.0,0.0,50.0,0.907,0.9171841996690008,0.9058041897924272
302,10.0,0.0,60.0,0.905,0.9171415335303038,0.9035312377549554
303,10.0,0.0,70.0,0.899,0.911115826776801,0.8977633654211633
304,10.0,0.0,80.0,0.897,0.910088230700239,0.8956488781721129
305,10.0,0.0,90.0,0.891,0.9050357500225757,0.8895741268157634
306,10.0,0.0,1.0,0.958,0.9582429379946781,0.9573356201286474
307,10.0,0.0,2.0,0.936,0.9381350521197055,0.9351611925185171
308,10.0,0.0,3.0,0.944,0.9462289392743077,0.9431403816870688
309,10.0,0.0,4.0,0.944,0.9461709153285962,0.9430698498916212
310,10.0,0.0,5.0,0.949,0.9509273950537761,0.9486578030189179
311,10.0,0.0,6.0,0.943,0.9458625794489081,0.9421457641172941
312,10.0,0.0,7.0,0.941,0.943321042229563,0.9401889555915816
313,10.0,0.0,8.0,0.939,0.941861176146895,0.9379777523768487
314,10.0,0.0,9.0,0.936,0.9391538370511341,0.9348373991808797
315,10.0,0.0,10.0,0.939,0.9433122829860588,0.9379086903180905
316,10.0,0.0,11.0,0.938,0.9418039251083489,0.9369254481126562
317,10.0,0.0,12.0,0.939,0.9426032114592158,0.9379396181531423
318,10.0,0.0,13.0,0.936,0.9402042039059149,0.9348201849547616
319,10.0,0.0,14.0,0.935,0.9396359609488643,0.93387044924702
320,10.0,0.0,15.0,0.938,0.9424168941826714,0.9370331830858281
321,10.0,0.0,16.0,0.935,0.9396759813015514,0.9339119709646161
322,10.0,0.0,17.0,0.94,0.9441976471578772,0.9391375693247774
323,10.0,0.0,18.0,0.939,0.9434772430966827,0.9381352020380884
324,10.0,0.0,19.0,0.941,0.9454682313323899,0.9401493720785743
325,10.0,0.0,20.0,0.94,0.9452284280861777,0.93926732400065
326,10.0,0.0,21.0,0.936,0.940754107435489,0.9350190130453422
327,10.0,0.0,22.0,0.937,0.9423057835029104,0.9359289287791835
328,10.0,0.0,23.0,0.935,0.940013989422793,0.9339197046880278
329,10.0,0.0,24.0,0.93,0.935668947046701,0.9287041392502704
330,10.0,0.0,25.0,0.927,0.9333390790145749,0.9257885960306034
331,10.0,0.0,30.0,0.923,0.9294853279764703,0.9217031348529068
332,10.0,0.0,35.0,0.923,0.9297101758066055,0.9218728414349846
333,10.0,0.0,40.0,0.921,0.9278674258413364,0.9197991830110845
334,10.0,0.0,45.0,0.919,0.9262830739539236,0.9176857046132845
335,10.0,0.0,50.0,0.912,0.9200393113464587,0.9104150083775855
336,10.0,0.0,60.0,0.911,0.9200256313953842,0.9096271135962045
337,10.0,0.0,70.0,0.903,0.914261904941772,0.9017290050700467
338,10.0,0.0,80.0,0.899,0.910763355394191,0.8974449271777212
339,10.0,0.0,90.0,0.891,0.9051008213656242,0.889504088062715
340,10.0,20.0,1.0,0.952,0.9519742787584005,0.9519134794881051
341,10.0,20.0,2.0,0.936,0.9384501712526465,0.9352492008957146
342,10.0,20.0,3.0,0.946,0.9462438176106958,0.9457950551409745
343,10.0,20.0,4.0,0.948,0.9486809681675752,0.9478077234577666
344,10.0,20.0,5.0,0.951,0.9510048259539609,0.950785819693869
345,10.0,20.0,6.0,0.952,0.9519078942568289,0.9518485522829174
346,10.0,20.0,7.0,0.946,0.9457369534589736,0.9455412281847575
347,10.0,20.0,8.0,0.95,0.9498702318930743,0.949637948787992
348,10.0,20.0,9.0,0.949,0.9487827587045661,0.9485771019691394
349,10.0,20.0,10.0,0.948,0.9478286683214924,0.9476882130802503
