,K,alpha,k,accuracy,precision,recall
703,10.0,21.0,144.0,0.73,"[0.81818182 0.45454545 0.875      0.8        0.66666667 1.
 0.875      0.9        0.77777778 0.72727273]","[0.9        1.         0.58333333 0.88888889 0.54545455 0.22222222
 0.7        0.9        0.77777778 0.8       ]"
704,10.0,21.0,1.0,0.9,"[1.         1.         1.         0.88888889 0.83333333 0.875
 0.83333333 0.75       0.875      1.        ]","[1.         1.         0.91666667 0.88888889 0.90909091 0.77777778
 1.         0.9        0.77777778 0.8       ]"
705,10.0,21.0,2.0,0.88,"[1.         1.         0.91666667 0.81818182 0.76923077 0.875
 0.9        0.69230769 1.         1.        ]","[1.         1.         0.91666667 1.         0.90909091 0.77777778
 0.9        0.9        0.77777778 0.6       ]"
706,10.0,21.0,3.0,0.93,"[1.         0.90909091 1.         0.81818182 1.         0.875
 0.90909091 0.9        1.         0.90909091]","[1.         1.         0.91666667 1.         0.90909091 0.77777778
 1.         0.9        0.77777778 1.        ]"
707,10.0,21.0,5.0,0.89,"[1.         1.         1.         0.88888889 0.75       0.875
 0.90909091 0.9        0.875      0.72727273]","[1.         1.         0.91666667 0.88888889 0.81818182 0.77777778
 1.         0.9        0.77777778 0.8       ]"
708,10.0,21.0,8.0,0.88,"[0.90909091 0.90909091 1.         0.88888889 0.81818182 0.85714286
 0.83333333 0.9        0.875      0.8       ]","[1.         1.         0.91666667 0.88888889 0.81818182 0.66666667
 1.         0.9        0.77777778 0.8       ]"
709,10.0,21.0,13.0,0.86,"[0.90909091 0.90909091 1.         0.8        0.88888889 0.83333333
 0.76923077 0.9        0.875      0.75      ]","[1.         1.         0.83333333 0.88888889 0.72727273 0.55555556
 1.         0.9        0.77777778 0.9       ]"
710,10.0,21.0,21.0,0.84,"[1.         0.90909091 1.         0.7        0.85714286 0.71428571
 0.76923077 0.9        1.         0.64285714]","[1.         1.         0.91666667 0.77777778 0.54545455 0.55555556
 1.         0.9        0.77777778 0.9       ]"
711,10.0,21.0,34.0,0.82,"[1.         0.90909091 0.91666667 0.75       0.875      0.71428571
 0.83333333 0.875      0.77777778 0.6       ]","[1.         1.         0.91666667 0.66666667 0.63636364 0.55555556
 1.         0.7        0.77777778 0.9       ]"
712,10.0,21.0,55.0,0.82,"[1.         0.90909091 0.91666667 0.66666667 1.         0.66666667
 0.83333333 0.875      0.77777778 0.625     ]","[1.         1.         0.91666667 0.66666667 0.63636364 0.44444444
 1.         0.7        0.77777778 1.        ]"
713,10.0,21.0,89.0,0.79,"[1.         0.83333333 1.         0.6        0.875      0.6
 0.83333333 0.875      0.77777778 0.53333333]","[1.         1.         0.91666667 0.66666667 0.63636364 0.33333333
 1.         0.7        0.77777778 0.8       ]"
714,10.0,21.0,144.0,0.76,"[1.         0.55555556 1.         0.6        0.77777778 0.75
 0.81818182 0.85714286 0.77777778 0.63636364]","[1.         1.         0.91666667 0.66666667 0.63636364 0.33333333
 0.9        0.6        0.77777778 0.7       ]"
715,10.0,21.0,1.0,0.89,"[0.90909091 0.83333333 1.         0.9        0.8        1.
 1.         0.88888889 0.88888889 0.72727273]","[1.         1.         0.91666667 1.         0.8        0.88888889
 0.9        0.72727273 0.88888889 0.8       ]"
716,10.0,21.0,2.0,0.86,"[0.83333333 0.83333333 1.         0.9        0.69230769 0.88888889
 1.         0.8        0.75       1.        ]","[1.         1.         0.91666667 1.         0.9        0.88888889
 1.         0.72727273 0.66666667 0.5       ]"
717,10.0,21.0,3.0,0.86,"[0.83333333 0.83333333 1.         0.9        0.66666667 1.
 1.         0.77777778 0.875      0.75      ]","[1.         1.         0.91666667 1.         0.8        0.88888889
 1.         0.63636364 0.77777778 0.6       ]"
718,10.0,21.0,5.0,0.89,"[0.83333333 0.83333333 1.         1.         0.72727273 1.
 1.         0.8        0.88888889 0.875     ]","[1.         1.         0.91666667 1.         0.8        0.88888889
 1.         0.72727273 0.88888889 0.7       ]"
719,10.0,21.0,8.0,0.83,"[0.83333333 0.83333333 0.91666667 0.81818182 0.6        1.
 0.90909091 0.8        0.85714286 0.71428571]","[1.         1.         0.91666667 1.         0.6        0.88888889
 1.         0.72727273 0.66666667 0.5       ]"
