,n,K,alpha,k,accuracy,precision,recall,tiempoTotal,unsure,time_pca,time_knn,p
115,10000.0,25.0,13.0,5.0,0.95,0.9548415531783083,0.9431005036268194,6367754444628.0,0.0,247450424972.0,4345612023.0,0.0
116,10000.0,25.0,13.0,5.0,0.9275,0.9232024065663398,0.929987004548408,6367754444628.0,0.0,248121781490.0,4373069694.0,0.0
117,10000.0,25.0,13.0,5.0,0.945,0.9447621092449983,0.937350320245057,6367754444628.0,0.0,249884699357.0,4357294904.0,0.0
118,10000.0,25.0,13.0,5.0,0.9375,0.9323977242125897,0.9323141608229327,6367754444628.0,0.0,249596041150.0,4381258556.0,0.0
119,10000.0,25.0,13.0,5.0,0.945,0.9410235326901994,0.9436090225563911,6367754444628.0,0.0,249202336958.0,4356755738.0,0.0
120,10000.0,25.0,13.0,5.0,0.9375,0.9343062885399852,0.9330526523508978,6367754444628.0,0.0,247367636700.0,4354888515.0,0.0
121,10000.0,25.0,13.0,5.0,0.9275,0.9246675246675247,0.9180656899955145,6367754444628.0,0.0,247445550050.0,4352714161.0,0.0
122,10000.0,25.0,13.0,5.0,0.9325,0.9249961431044811,0.9268689237987482,6367754444628.0,0.0,247656986951.0,4354884192.0,0.0
123,10000.0,25.0,13.0,5.0,0.93,0.9233717562512435,0.9218544937843183,6367754444628.0,0.0,249060863799.0,4367757015.0,0.0
124,10000.0,25.0,13.0,5.0,0.9275,0.928347503654745,0.9246202465500711,6367754444628.0,0.0,249302915442.0,4366257579.0,0.0
125,10000.0,25.0,13.0,5.0,0.9325,0.9334163095181496,0.9326758686407809,6367754444628.0,0.0,249280612536.0,4357976061.0,0.0
126,10000.0,25.0,13.0,5.0,0.9325,0.9313385370406917,0.9243193279564696,6367754444628.0,0.0,247324714198.0,4371368141.0,0.0
127,10000.0,25.0,13.0,5.0,0.9175,0.919693153979958,0.913703340511214,6367754444628.0,0.0,247709733185.0,4338141571.0,0.0
128,10000.0,25.0,13.0,5.0,0.91,0.9082439382543155,0.8994984551574196,6367754444628.0,0.0,247512709831.0,4355761260.0,0.0
129,10000.0,25.0,13.0,5.0,0.9275,0.9271240961851096,0.9240515588606463,6367754444628.0,0.0,248576697367.0,4363107437.0,0.0
130,10000.0,25.0,13.0,5.0,0.9325,0.9354712787497813,0.9248793179254614,6367754444628.0,0.0,249088837666.0,4364950789.0,0.0
131,10000.0,25.0,13.0,5.0,0.9375,0.9328887029469344,0.9292000238940761,6367754444628.0,0.0,250072721083.0,4371178844.0,0.0
132,10000.0,25.0,13.0,5.0,0.945,0.9386477117721707,0.9378011903150971,6367754444628.0,0.0,247591502990.0,4404564910.0,0.0
133,10000.0,25.0,13.0,5.0,0.94,0.9368550631148617,0.9330229846383035,6367754444628.0,0.0,247842882189.0,4358590800.0,0.0
134,10000.0,50.0,13.0,5.0,0.925,0.9205807158172886,0.9147072226019595,12703215879139.0,0.0,249019871146.0,2240785936.0,0.0
135,10000.0,50.0,13.0,5.0,0.945,0.9575960102275892,0.94377990430622,12703215879139.0,0.0,249034642521.0,2290427286.0,0.0
136,10000.0,50.0,13.0,5.0,0.935,0.9378391264356176,0.927085390243285,12703215879139.0,0.0,251299719125.0,2257820851.0,0.0
137,10000.0,50.0,13.0,5.0,0.93,0.9278279084326333,0.9256474519632414,12703215879139.0,0.0,251554414781.0,2251203855.0,0.0
138,10000.0,50.0,13.0,5.0,0.93,0.9294622225994775,0.9220032404242929,12703215879139.0,0.0,250996173258.0,2218178751.0,0.0
139,10000.0,50.0,13.0,5.0,0.905,0.8972714763736435,0.8975772765246448,12703215879139.0,0.0,248611988853.0,2216829493.0,0.0
140,10000.0,50.0,13.0,5.0,0.925,0.918139798893153,0.9206766917293232,12703215879139.0,0.0,248675606661.0,2221268117.0,0.0
141,10000.0,50.0,13.0,5.0,0.935,0.939260554401668,0.9328730074344109,12703215879139.0,0.0,248627761880.0,2207125914.0,0.0
142,10000.0,50.0,13.0,5.0,0.925,0.9172235401337568,0.9217424875319611,12703215879139.0,0.0,250369744121.0,2227240153.0,0.0
143,10000.0,50.0,13.0,5.0,0.96,0.9567871051987353,0.9601132460781583,12703215879139.0,0.0,250982833485.0,2232947130.0,0.0
144,10000.0,50.0,13.0,5.0,0.935,0.936661097187413,0.9320755592685417,12703215879139.0,0.0,250830458775.0,2237236531.0,0.0
145,10000.0,50.0,13.0,5.0,0.945,0.9497607655502391,0.944336852231589,12703215879139.0,0.0,249704601687.0,2224843749.0,0.0
146,10000.0,50.0,13.0,5.0,0.945,0.9611753632101817,0.9373944119558154,12703215879139.0,0.0,248566114788.0,2222270151.0,0.0
147,10000.0,50.0,13.0,5.0,0.955,0.9525455051770843,0.9490671122250068,12703215879139.0,0.0,248705471712.0,2221299279.0,0.0
148,10000.0,50.0,13.0,5.0,0.915,0.9124460984110107,0.9214935486865312,12703215879139.0,0.0,248477890753.0,2221392919.0,0.0
149,10000.0,50.0,13.0,5.0,0.93,0.9271773710370201,0.9273415019029054,12703215879139.0,0.0,250764653061.0,2230565727.0,0.0
150,10000.0,50.0,13.0,5.0,0.96,0.9592167727179167,0.9549104242086697,12703215879139.0,0.0,249809759358.0,2252783235.0,0.0
151,10000.0,50.0,13.0,5.0,0.93,0.9282969257169464,0.9197902162814443,12703215879139.0,0.0,250492759764.0,2224712317.0,0.0
152,10000.0,50.0,13.0,5.0,0.93,0.9282321141016793,0.9259352083913487,12703215879139.0,0.0,248396196927.0,2232248177.0,0.0
153,10000.0,50.0,13.0,5.0,0.94,0.9356018871655789,0.9334021079635115,12703215879139.0,0.0,249161010218.0,2223664844.0,0.0
154,10000.0,50.0,13.0,5.0,0.925,0.9234038103603321,0.921196509793001,12703215879139.0,0.0,248391246954.0,2227705070.0,0.0
155,10000.0,50.0,13.0,5.0,0.955,0.9495396741010776,0.9546180265478511,12703215879139.0,0.0,249690693140.0,2233301114.0,0.0
156,10000.0,50.0,13.0,5.0,0.96,0.9620136199083569,0.9548306793920829,12703215879139.0,0.0,250407483662.0,2220814879.0,0.0
157,10000.0,50.0,13.0,5.0,0.93,0.9238264010193835,0.927633899563724,12703215879139.0,0.0,252150107450.0,2242508557.0,0.0
158,10000.0,50.0,13.0,5.0,0.92,0.9108309494274407,0.9102980515261218,12703215879139.0,0.0,249172425369.0,2216911808.0,0.0
159,10000.0,50.0,13.0,5.0,0.945,0.9488625753331635,0.9363724968988127,12703215879139.0,0.0,248749814940.0,2214303729.0,0.0
160,10000.0,50.0,13.0,5.0,0.925,0.9172753922316448,0.920672050496612,12703215879139.0,0.0,248384191389.0,2216081911.0,0.0
161,10000.0,50.0,13.0,5.0,0.935,0.9286804975401467,0.9267605039534863,12703215879139.0,0.0,248749516919.0,2223200309.0,0.0
162,10000.0,50.0,13.0,5.0,0.915,0.9068905428554552,0.904242086698227,12703215879139.0,0.0,250164306774.0,2223537369.0,0.0
163,10000.0,50.0,13.0,5.0,0.95,0.947443414567747,0.9445651164949411,12703215879139.0,0.0,251022236873.0,2228331803.0,0.0
164,10000.0,50.0,13.0,5.0,0.915,0.9171048773776822,0.9089761440638634,12703215879139.0,0.0,250036827731.0,2227928759.0,0.0
165,10000.0,50.0,13.0,5.0,0.945,0.944462605789837,0.9447452807101929,12703215879139.0,0.0,249961148149.0,2220681184.0,0.0
166,10000.0,50.0,13.0,5.0,0.94,0.9425222586549817,0.9441921301570423,12703215879139.0,0.0,249029209597.0,2247963234.0,0.0
167,10000.0,50.0,13.0,5.0,0.925,0.9252347669530333,0.9205598170510451,12703215879139.0,0.0,249168511930.0,2219682178.0,0.0
168,10000.0,50.0,13.0,5.0,0.955,0.9569721038065813,0.9485055230669265,12703215879139.0,0.0,248645569276.0,2231219541.0,0.0
169,10000.0,50.0,13.0,5.0,0.915,0.9147869674185463,0.9109115381045206,12703215879139.0,0.0,250727811513.0,2227791438.0,0.0
170,10000.0,50.0,13.0,5.0,0.915,0.9155696790708231,0.9128870155185944,12703215879139.0,0.0,250713548570.0,2222813464.0,0.0
171,10000.0,50.0,13.0,5.0,0.9,0.9092592592592593,0.892541539032767,12703215879139.0,0.0,251129047256.0,2226346377.0,0.0
172,10000.0,50.0,13.0,5.0,0.87,0.8779583639232762,0.8547711872273276,12703215879139.0,0.0,249173063044.0,2216121821.0,0.0
173,10000.0,50.0,13.0,5.0,0.945,0.9391860286787822,0.944620811287478,12703215879139.0,0.0,249088306843.0,2229208292.0,0.0
174,10000.0,50.0,13.0,5.0,0.935,0.9287189843769913,0.9320152232432933,12703215879139.0,0.0,250023752457.0,2227975225.0,0.0
175,10000.0,50.0,13.0,5.0,0.92,0.9311688311688313,0.9106507852121886,12703215879139.0,0.0,249016718596.0,2234714920.0,0.0
176,10000.0,50.0,13.0,5.0,0.935,0.9368370421002,0.927429685324422,12703215879139.0,0.0,250886739822.0,2237355018.0,0.0
177,10000.0,50.0,13.0,5.0,0.94,0.9530749175676712,0.9337223530205985,12703215879139.0,0.0,251621217581.0,2232311412.0,0.0
178,10000.0,50.0,13.0,5.0,0.935,0.9323562909357318,0.9267520653485567,12703215879139.0,0.0,251050466033.0,2211466056.0,0.0
179,10000.0,50.0,13.0,5.0,0.935,0.9326649958228906,0.9267520653485565,12703215879139.0,0.0,251129541456.0,2222683981.0,0.0
180,10000.0,50.0,13.0,5.0,0.955,0.9580770107085895,0.9487375847024969,12703215879139.0,0.0,249638593478.0,2242799133.0,0.0
181,10000.0,50.0,13.0,5.0,0.935,0.9311367644700977,0.9276942355889725,12703215879139.0,0.0,249834782443.0,2225748483.0,0.0
182,10000.0,50.0,13.0,5.0,0.95,0.9505089665788726,0.9434465794114916,12703215879139.0,0.0,249947344734.0,2230811926.0,0.0
183,10000.0,50.0,13.0,5.0,0.945,0.9387318563789153,0.9388610414926204,12703215879139.0,0.0,254605799558.0,2246731081.0,0.0
