,K,alpha,k,accuracy,precision,recall,n
299,5.0,20.0,12.0,0.5333333333333333,0.45338217338217335,0.5109523809523809,300.0
300,5.0,20.0,13.0,0.5,0.44743589743589735,0.4776190476190476,300.0
301,5.0,20.0,14.0,0.48333333333333334,0.4324175824175824,0.460952380952381,300.0
302,5.0,20.0,15.0,0.48333333333333334,0.42905982905982903,0.460952380952381,300.0
303,5.0,20.0,16.0,0.48333333333333334,0.46461538461538454,0.47107142857142864,300.0
304,5.0,20.0,17.0,0.4666666666666667,0.45116217116217117,0.4544047619047619,300.0
305,5.0,20.0,18.0,0.4666666666666667,0.43207792207792206,0.4526190476190476,300.0
306,5.0,20.0,19.0,0.45,0.4036996336996337,0.4359523809523809,300.0
307,5.0,20.0,20.0,0.43333333333333335,0.3804166666666667,0.4151190476190476,300.0
308,5.0,20.0,21.0,0.45,0.3904166666666667,0.43178571428571433,300.0
309,5.0,20.0,22.0,0.38333333333333336,0.33493589743589747,0.37166666666666665,300.0
310,5.0,20.0,23.0,0.4,0.3594047619047619,0.38416666666666666,300.0
311,5.0,20.0,24.0,0.4,0.3808333333333333,0.38416666666666666,300.0
312,5.0,20.0,1.0,0.6333333333333333,0.6950000000000001,0.6291269841269842,300.0
313,5.0,20.0,2.0,0.55,0.6580357142857143,0.5346825396825396,300.0
314,5.0,20.0,3.0,0.5833333333333334,0.5972222222222222,0.5596825396825397,300.0
315,5.0,20.0,4.0,0.5666666666666667,0.6763095238095238,0.5535714285714286,300.0
316,5.0,20.0,5.0,0.5833333333333334,0.5951785714285714,0.567063492063492,300.0
317,5.0,20.0,6.0,0.5333333333333333,0.485974025974026,0.5087301587301587,300.0
318,5.0,20.0,7.0,0.55,0.5907954545454546,0.5303968253968254,300.0
319,5.0,20.0,8.0,0.5666666666666667,0.6745833333333333,0.5503968253968253,300.0
320,5.0,20.0,9.0,0.55,0.6576388888888889,0.5337301587301587,300.0
321,5.0,20.0,10.0,0.5166666666666667,0.6189969834087481,0.4946825396825397,300.0
322,5.0,20.0,11.0,0.5166666666666667,0.6456636500754148,0.4970634920634921,300.0
323,5.0,20.0,12.0,0.5,0.5157002801120447,0.4696825396825397,300.0
324,5.0,20.0,13.0,0.5,0.49327380952380945,0.4696825396825397,300.0
325,5.0,20.0,14.0,0.5,0.5145238095238095,0.47523809523809524,300.0
326,5.0,20.0,15.0,0.4666666666666667,0.46480158730158727,0.44190476190476186,300.0
327,5.0,20.0,16.0,0.4666666666666667,0.4821195144724557,0.4385714285714285,300.0
328,5.0,20.0,17.0,0.48333333333333334,0.49481792717086837,0.4552380952380952,300.0
329,5.0,20.0,18.0,0.48333333333333334,0.49481792717086837,0.4552380952380952,300.0
330,5.0,20.0,19.0,0.4666666666666667,0.4848179271708684,0.4385714285714285,300.0
331,5.0,20.0,20.0,0.48333333333333334,0.4928571428571429,0.4552380952380952,300.0
332,5.0,20.0,21.0,0.4666666666666667,0.46497835497835494,0.4409523809523809,300.0
333,5.0,20.0,22.0,0.45,0.4307486631016043,0.42428571428571427,300.0
334,5.0,20.0,23.0,0.45,0.4307486631016043,0.42428571428571427,300.0
335,5.0,20.0,24.0,0.4666666666666667,0.446447963800905,0.440952380952381,300.0
336,5.0,20.0,1.0,0.5333333333333333,0.5427380952380952,0.5295238095238095,300.0
337,5.0,20.0,2.0,0.5333333333333333,0.6228354978354979,0.5205952380952381,300.0
338,5.0,20.0,3.0,0.4666666666666667,0.4425,0.4420238095238095,300.0
339,5.0,20.0,4.0,0.5166666666666667,0.4776406926406927,0.4872619047619048,300.0
340,5.0,20.0,5.0,0.48333333333333334,0.4128787878787879,0.4511904761904762,300.0
341,5.0,20.0,6.0,0.4,0.3297619047619047,0.37857142857142856,300.0
342,5.0,20.0,7.0,0.43333333333333335,0.3638095238095238,0.41428571428571426,300.0
